true,predicted,confidence,entropy,mean_entropy,mutual_info,prob_0,var_0,prob_1,var_1,prob_2,var_2,prob_3,var_3,prob_4,var_4,correct
0,0,0.9710432291030884,0.14400331676006317,0.1440027505159378,5.662441253662109e-07,0.9710432291030884,2.7693500825876072e-08,0.025181844830513,1.6647925704660338e-08,0.0033164822962135077,1.5210487314121224e-09,0.0001693444064585492,6.341888385968941e-12,0.00028910001856274903,1.5633463273934112e-11,True
2,1,0.4580986201763153,1.0527077913284302,1.0526889562606812,1.8835067749023438e-05,0.10807900875806808,1.3842193311575102e-06,0.4580986201763153,3.3213482311111875e-06,0.4141274392604828,7.1344875323120505e-06,0.013603083789348602,2.4224334538303083e-08,0.006091907620429993,3.74932307423137e-09,False
0,0,0.9593427777290344,0.19150683283805847,0.19150611758232117,7.152557373046875e-07,0.9593427777290344,5.462185370674888e-08,0.03405233100056648,2.9182174898778612e-08,0.005618181545287371,3.366542156157948e-09,0.00037251925095915794,2.274654943568155e-11,0.0006142487400211394,5.196556032704969e-11,True
0,0,0.9118176698684692,0.3632211685180664,0.3632185459136963,2.6226043701171875e-06,0.9118176698684692,3.760997913104802e-07,0.06234046444296837,1.022234741299144e-07,0.02275637723505497,6.822327947020312e-08,0.0013716511894017458,3.55820678477059e-10,0.0017139021074399352,4.453940827264802e-10,True
0,0,0.9257925152778625,0.31256914138793945,0.312563419342041,5.7220458984375e-06,0.9257925152778625,6.277319926084601e-07,0.056669335812330246,1.9064025025272713e-07,0.015534298494458199,1.0089041779792751e-07,0.0008661040919832885,5.79212677820351e-10,0.0011376870097592473,8.647653149118639e-10,True
0,0,0.9613170027732849,0.19282183051109314,0.19282059371471405,1.2367963790893555e-06,0.9613170027732849,7.858067618826681e-08,0.02759378030896187,2.415050914805761e-08,0.009381139650940895,1.3201940873841522e-08,0.0006717338692396879,1.0175846276716527e-10,0.0010363988112658262,1.9873047651941533e-10,True
0,0,0.9761671423912048,0.12941117584705353,0.1294110268354416,1.4901161193847656e-07,0.9761671423912048,9.229856878789633e-09,0.01772899739444256,2.7697668603110515e-09,0.005161099601536989,1.6096861621406333e-09,0.0003486895002424717,1.1837864022368194e-11,0.00059421022888273,2.9399239986904746e-11,True
0,0,0.9369999170303345,0.2919387221336365,0.29193735122680664,1.3709068298339844e-06,0.9369999170303345,1.3189864489504544e-07,0.033979784697294235,1.4564125905280889e-08,0.025431517511606216,4.902398487161008e-08,0.0015856862301006913,3.4789363057008416e-10,0.002003180095925927,4.848742518603899e-10,True
0,0,0.9814326167106628,0.09973977506160736,0.09973935782909393,4.172325134277344e-07,0.9814326167106628,1.297720597648322e-08,0.01655132882297039,7.509115995674165e-09,0.001752433367073536,5.969913452474884e-10,9.021770529216155e-05,2.6166484343864704e-12,0.00017339391342829913,8.177711979806546e-12,True
0,2,0.6282534599304199,0.961013674736023,0.9609901309013367,2.3543834686279297e-05,0.00434401398524642,1.996318665931085e-08,0.014894694089889526,1.466420087581355e-07,0.6282534599304199,6.066070909582777e-06,0.24696660041809082,4.922060270473594e-06,0.10554122179746628,5.88549482927192e-07,False
